Participant Name,Image,Response
Tobias Munch,BF07AFS.JPG,-1
Tobias Munch,BF35NES.JPG,0
Tobias Munch,BM01SUS.JPG,-1
Tobias Munch,AM24AFS.JPG,-1
Tobias Munch,BM31NES.JPG,0
Tobias Munch,BM06ANS.JPG,-2
Tobias Munch,AM34ANS.JPG,-1
Tobias Munch,BM17SAS.JPG,-2
Tobias Munch,BF20HAS.JPG,2
Tobias Munch,BF30AFS.JPG,-1
Tobias Munch,AM03ANS.JPG,-2
Tobias Munch,BM23SAS.JPG,-2
Tobias Munch,BM24SUS.JPG,1
Tobias Munch,AM25DIS.JPG,-1
Tobias Munch,BF31AFS.JPG,-2
Tobias Munch,AM02NES.JPG,0
Tobias Munch,BF10ANS.JPG,-2
Tobias Munch,AF15NES.JPG,0
Tobias Munch,AF12SAS.JPG,-1
Tobias Munch,AM31ANS.JPG,-1
Tobias Munch,BM01SAS.JPG,-2
Tobias Munch,AM08SAS.JPG,-1
Tobias Munch,AM12SUS.JPG,1
Tobias Munch,AM25ANS.JPG,0
Tobias Munch,AM24SUS.JPG,1
Tobias Munch,BM16DIS.JPG,-1
Tobias Munch,AM30NES.JPG,-1
Tobias Munch,AM10SUS.JPG,1
Tobias Munch,BM03SUS.JPG,1
Tobias Munch,AM11HAS.JPG,2
Tobias Munch,BM15ANS.JPG,-2
Tobias Munch,BF13ANS.JPG,-2
Tobias Munch,AF25SUS.JPG,0
Tobias Munch,AF06AFS.JPG,-2
Tobias Munch,BF15DIS.JPG,-1
Tobias Munch,BF34ANS.JPG,-1
Tobias Munch,AM29DIS.JPG,-2
Tobias Munch,BM25SAS.JPG,-1
Tobias Munch,BF22HAS.JPG,2
Tobias Munch,BM11HAS.JPG,2
Tobias Munch,AM09DIS.JPG,0
Tobias Munch,BF28ANS.JPG,-1
Tobias Munch,AM18SAS.JPG,-1
Tobias Munch,BF12NES.JPG,0
Tobias Munch,AF25HAS.JPG,2
Tobias Munch,BM17DIS.JPG,-1
Tobias Munch,BM10ANS.JPG,-1
Tobias Munch,BF27ANS.JPG,-1
