Participant Name,Image,Response
Andreas,AF27DIS.JPG,-1
Andreas,BF24SAS.JPG,-1
Andreas,BF02SUS.JPG,0
Andreas,BM03SUS.JPG,0
Andreas,AF26HAS.JPG,1
Andreas,AF08ANS.JPG,0
Andreas,BM08HAS.JPG,1
Andreas,BM27SUS.JPG,0
Andreas,BM31SUS.JPG,0
Andreas,BF35SAS.JPG,-1
Andreas,BM09ANS.JPG,-1
Andreas,AF10HAS.JPG,2
Andreas,BF34ANS.JPG,0
Andreas,BM09HAS.JPG,1
Andreas,BM09DIS.JPG,-1
Andreas,BF09ANS.JPG,-2
Andreas,BM33AFS.JPG,-1
Andreas,AF10DIS.JPG,-2
Andreas,AF32AFS.JPG,-1
Andreas,BF07AFS.JPG,0
Andreas,AF31AFS.JPG,0
Andreas,BF17SUS.JPG,1
Andreas,BM18ANS.JPG,-1
Andreas,BM30SUS.JPG,0
Andreas,AF19SAS.JPG,-1
Andreas,BM18SUS.JPG,1
Andreas,BM13HAS.JPG,2
Andreas,BF29HAS.JPG,2
Andreas,BM25ANS.JPG,-1
Andreas,AM22NES.JPG,-1
Andreas,AF09HAS.JPG,2
Andreas,BF26DIS.JPG,-1
Andreas,AF15SAS.JPG,0
Andreas,BM34NES.JPG,0
Andreas,BM08AFS.JPG,1
Andreas,BM10HAS.JPG,2
Andreas,AM18AFS.JPG,1
Andreas,BF22ANS.JPG,-1
Andreas,AF02SAS.JPG,0
Andreas,BF11SAS.JPG,-1
Andreas,BM23NES.JPG,0
Andreas,BM18AFS.JPG,1
Andreas,AF06SUS.JPG,0
Andreas,AF33AFS.JPG,-1
Andreas,AF21HAS.JPG,2
Andreas,BF33NES.JPG,0
Andreas,AM25SAS.JPG,-1
Andreas,BM30DIS.JPG,-1
Andreas,BF34SUS.JPG,0
Andreas,AF12SAS.JPG,-1
Andreas,BM22NES.JPG,0
Andreas,AF33NES.JPG,-1
Andreas,BM32DIS.JPG,-2
Andreas,AF32HAS.JPG,2
Andreas,BM22ANS.JPG,0
Andreas,BM17DIS.JPG,-1
Andreas,AF25NES.JPG,0
Andreas,BF12NES.JPG,0
Andreas,AM03HAS.JPG,1
Andreas,AM10HAS.JPG,1
Andreas,BM14DIS.JPG,-1
Andreas,AF34SUS.JPG,0
Andreas,BM22SUS.JPG,0
Andreas,AF19AFS.JPG,0
Andreas,AF23ANS.JPG,-1
Andreas,AF05SUS.JPG,1
Andreas,BF12AFS.JPG,0
Andreas,BF03DIS.JPG,-1
Andreas,BF11AFS.JPG,0
Andreas,AF26DIS.JPG,-1
Andreas,BF04SAS.JPG,0
Andreas,BF27SUS.JPG,0
Andreas,AF04SAS.JPG,0
Andreas,AF04SUS.JPG,1
Andreas,BF06AFS.JPG,-1
Andreas,AF35SAS.JPG,-1
Andreas,BF03SUS.JPG,0
Andreas,BF24HAS.JPG,2
Andreas,AM22HAS.JPG,2
